蝴蝶刀,久经沙场,★,42552,蝴蝶刀（★） | 大马士革钢,103,6699.5,6783.02,1.01,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43421,蝴蝶刀（★ StatTrak™） | 噩梦之夜,36,5038.5,8131.54,1.61,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43971,蝴蝶刀（★ StatTrak™） | 人工染色,7,4974.5,9335.33,1.88,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43423,蝴蝶刀（★ StatTrak™） | 外表生锈,56,4949.5,6695.82,1.35,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43397,蝴蝶刀（★ StatTrak™） | 北方森林,19,4939.5,8343.02,1.69,2024-06-17
蝴蝶刀,战痕累累,★,42582,蝴蝶刀（★） | 人工染色,54,4879.5,7792.09,1.6,2024-06-17
蝴蝶刀,破损不堪,★,42568,蝴蝶刀（★） | 噩梦之夜,26,4838.5,6692.48,1.38,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,44055,蝴蝶刀（★ StatTrak™） | 噩梦之夜,5,4794.5,8410.56,1.75,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43441,蝴蝶刀（★ StatTrak™） | 都市伪装,21,4698.5,8799.78,1.87,2024-06-17
蝴蝶刀,略有磨损,★,42539,蝴蝶刀（★） | 北方森林,83,4698.5,8286.51,1.76,2024-06-17
蝴蝶刀,略有磨损,★,42595,蝴蝶刀（★） | 都市伪装,100,4659,6759.95,1.45,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43428,蝴蝶刀（★ StatTrak™） | 枯焦之色,7,4637.5,10156.57,2.19,2024-06-17
蝴蝶刀,略有磨损,★,42577,蝴蝶刀（★） | 枯焦之色,52,4619.5,11486.89,2.49,2024-06-17
蝴蝶刀,战痕累累,★,42589,蝴蝶刀（★） | 致命紫罗兰,68,4551.99,8363.26,1.84,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43420,蝴蝶刀（★ StatTrak™） | 噩梦之夜,13,4514.5,4615.43,1.02,2024-06-17
蝴蝶刀,战痕累累,★,42565,蝴蝶刀（★） | 噩梦之夜,66,4499.5,7740.87,1.72,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43436,蝴蝶刀（★ StatTrak™） | 致命紫罗兰,16,4499,6258.14,1.39,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43416,蝴蝶刀（★ StatTrak™） | 森林 DDPAT,13,4449,8514.89,1.91,2024-06-17
蝴蝶刀,略有磨损,★,42561,蝴蝶刀（★） | 森林 DDPAT,51,4439.5,8430.08,1.9,2024-06-17
蝴蝶刀,久经沙场,★,42538,蝴蝶刀（★） | 北方森林,156,4249.5,6192.62,1.46,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43426,蝴蝶刀（★ StatTrak™） | 狩猎网格,22,4221.5,6889.23,1.63,2024-06-17
蝴蝶刀,略有磨损,★,42573,蝴蝶刀（★） | 狩猎网格,60,4204,6599.98,1.57,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,43417,蝴蝶刀（★ StatTrak™） | 森林 DDPAT,4,4198,7106.29,1.69,2024-06-17
蝴蝶刀,久经沙场,★,42576,蝴蝶刀（★） | 枯焦之色,100,4188,6192.62,1.48,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,44647,蝴蝶刀（★ StatTrak™） | 枯焦之色,4,4187.5,7353.76,1.76,2024-06-17
蝴蝶刀,久经沙场,★,42560,蝴蝶刀（★） | 森林 DDPAT,124,4183.9,6166.58,1.47,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43396,蝴蝶刀（★ StatTrak™） | 北方森林,27,4178.5,7617.54,1.82,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,44542,蝴蝶刀（★ StatTrak™） | 枯焦之色,12,4168.5,6384.22,1.53,2024-06-17
蝴蝶刀,久经沙场,★,42594,蝴蝶刀（★） | 都市伪装,152,4149.5,5919.19,1.43,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43440,蝴蝶刀（★ StatTrak™） | 都市伪装,27,4119,6735.14,1.64,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,645513,蝴蝶刀（★ StatTrak™） | 北方森林,5,4099.5,5993.12,1.46,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,43442,蝴蝶刀（★ StatTrak™） | 都市伪装,5,4099.5,6028.74,1.47,2024-06-17
蝴蝶刀,破损不堪,★,42540,蝴蝶刀（★） | 北方森林,25,4099.5,6763.43,1.65,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43439,蝴蝶刀（★ StatTrak™） | 都市伪装,19,4099.4,11701.48,2.85,2024-06-17
蝴蝶刀,战痕累累,★,42593,蝴蝶刀（★） | 都市伪装,50,4098.5,9670.65,2.36,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43427,蝴蝶刀（★ StatTrak™） | 枯焦之色,34,4094,6363.77,1.55,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43415,蝴蝶刀（★ StatTrak™） | 森林 DDPAT,28,4090.5,6676.37,1.63,2024-06-17
蝴蝶刀,破损不堪,★,42596,蝴蝶刀（★） | 都市伪装,28,4088.99,6192.62,1.51,2024-06-17
蝴蝶刀,破损不堪,★,42578,蝴蝶刀（★） | 枯焦之色,29,4079,7925.87,1.94,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,45014,蝴蝶刀（★ StatTrak™） | 北方森林,10,4074.5,5437.18,1.33,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,45474,蝴蝶刀（★ StatTrak™） | 狩猎网格,8,4069,11843.32,2.91,2024-06-17
蝴蝶刀,久经沙场,★,42572,蝴蝶刀（★） | 狩猎网格,73,4068.5,5948.94,1.46,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43425,蝴蝶刀（★ StatTrak™） | 狩猎网格,31,4059.5,5840.11,1.44,2024-06-17
蝴蝶刀,战痕累累,★,42575,蝴蝶刀（★） | 枯焦之色,59,4059.5,6579.67,1.62,2024-06-17
蝴蝶刀,破损不堪,★,42562,蝴蝶刀（★） | 森林 DDPAT,24,4049.5,5508.71,1.36,2024-06-17
蝴蝶刀,战痕累累,★,42536,蝴蝶刀（★） | 北方森林,53,4049.5,6187.18,1.53,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43424,蝴蝶刀（★ StatTrak™） | 狩猎网格,14,4048.5,5840.11,1.44,2024-06-17
蝴蝶刀,战痕累累,★,42558,蝴蝶刀（★） | 森林 DDPAT,49,4039.5,5986.59,1.48,2024-06-17
蝴蝶刀,战痕累累,★,42571,蝴蝶刀（★） | 狩猎网格,46,4036,6166.58,1.53,2024-06-17
蝴蝶刀,破损不堪,★,42574,蝴蝶刀（★） | 狩猎网格,23,4033.5,9436.9,2.34,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43414,蝴蝶刀（★ StatTrak™） | 森林 DDPAT,13,4032.49,5960.47,1.48,2024-06-17
蝴蝶刀,战痕累累,★,42565,蝴蝶刀（★） | 噩梦之夜,66,4499.5,7740.87,1.72,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43436,蝴蝶刀（★ StatTrak™） | 致命紫罗兰,16,4499,6258.14,1.39,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43416,蝴蝶刀（★ StatTrak™） | 森林 DDPAT,13,4449,8514.89,1.91,2024-06-17
蝴蝶刀,略有磨损,★,42561,蝴蝶刀（★） | 森林 DDPAT,51,4439.5,8430.08,1.9,2024-06-17
蝴蝶刀,久经沙场,★,42538,蝴蝶刀（★） | 北方森林,156,4249.5,6192.62,1.46,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43426,蝴蝶刀（★ StatTrak™） | 狩猎网格,22,4221.5,6889.23,1.63,2024-06-17
蝴蝶刀,略有磨损,★,42573,蝴蝶刀（★） | 狩猎网格,60,4204,6599.98,1.57,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,43417,蝴蝶刀（★ StatTrak™） | 森林 DDPAT,4,4198,7106.29,1.69,2024-06-17
蝴蝶刀,久经沙场,★,42576,蝴蝶刀（★） | 枯焦之色,100,4188,6192.62,1.48,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,44647,蝴蝶刀（★ StatTrak™） | 枯焦之色,4,4187.5,7353.76,1.76,2024-06-17
蝴蝶刀,久经沙场,★,42560,蝴蝶刀（★） | 森林 DDPAT,124,4183.9,6166.58,1.47,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43396,蝴蝶刀（★ StatTrak™） | 北方森林,27,4178.5,7617.54,1.82,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,44542,蝴蝶刀（★ StatTrak™） | 枯焦之色,12,4168.5,6384.22,1.53,2024-06-17
蝴蝶刀,久经沙场,★,42594,蝴蝶刀（★） | 都市伪装,152,4149.5,5919.19,1.43,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43440,蝴蝶刀（★ StatTrak™） | 都市伪装,27,4119,6735.14,1.64,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,645513,蝴蝶刀（★ StatTrak™） | 北方森林,5,4099.5,5993.12,1.46,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,43442,蝴蝶刀（★ StatTrak™） | 都市伪装,5,4099.5,6028.74,1.47,2024-06-17
蝴蝶刀,破损不堪,★,42540,蝴蝶刀（★） | 北方森林,25,4099.5,6763.43,1.65,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43439,蝴蝶刀（★ StatTrak™） | 都市伪装,19,4099.4,11701.48,2.85,2024-06-17
蝴蝶刀,战痕累累,★,42593,蝴蝶刀（★） | 都市伪装,50,4098.5,9670.65,2.36,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43427,蝴蝶刀（★ StatTrak™） | 枯焦之色,34,4094,6363.77,1.55,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43415,蝴蝶刀（★ StatTrak™） | 森林 DDPAT,28,4090.5,6676.37,1.63,2024-06-17
蝴蝶刀,破损不堪,★,42596,蝴蝶刀（★） | 都市伪装,28,4088.99,6192.62,1.51,2024-06-17
蝴蝶刀,破损不堪,★,42578,蝴蝶刀（★） | 枯焦之色,29,4079,7925.87,1.94,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,45014,蝴蝶刀（★ StatTrak™） | 北方森林,10,4074.5,5437.18,1.33,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,45474,蝴蝶刀（★ StatTrak™） | 狩猎网格,8,4069,11843.32,2.91,2024-06-17
蝴蝶刀,久经沙场,★,42572,蝴蝶刀（★） | 狩猎网格,73,4068.5,5948.94,1.46,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43425,蝴蝶刀（★ StatTrak™） | 狩猎网格,31,4059.5,5840.11,1.44,2024-06-17
蝴蝶刀,战痕累累,★,42575,蝴蝶刀（★） | 枯焦之色,59,4059.5,6579.67,1.62,2024-06-17
蝴蝶刀,破损不堪,★,42562,蝴蝶刀（★） | 森林 DDPAT,24,4049.5,5508.71,1.36,2024-06-17
蝴蝶刀,战痕累累,★,42536,蝴蝶刀（★） | 北方森林,53,4049.5,6187.18,1.53,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43424,蝴蝶刀（★ StatTrak™） | 狩猎网格,14,4048.5,5840.11,1.44,2024-06-17
蝴蝶刀,战痕累累,★,42558,蝴蝶刀（★） | 森林 DDPAT,49,4039.5,5986.59,1.48,2024-06-17
蝴蝶刀,战痕累累,★,42571,蝴蝶刀（★） | 狩猎网格,46,4036,6166.58,1.53,2024-06-17
蝴蝶刀,破损不堪,★,42574,蝴蝶刀（★） | 狩猎网格,23,4033.5,9436.9,2.34,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43414,蝴蝶刀（★ StatTrak™） | 森林 DDPAT,13,4032.49,5960.47,1.48,2024-06-17
蝴蝶刀,战痕累累,★,42565,蝴蝶刀（★） | 噩梦之夜,66,4499.5,7740.87,1.72,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43436,蝴蝶刀（★ StatTrak™） | 致命紫罗兰,16,4499,6258.14,1.39,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43416,蝴蝶刀（★ StatTrak™） | 森林 DDPAT,13,4449,8514.89,1.91,2024-06-17
蝴蝶刀,略有磨损,★,42561,蝴蝶刀（★） | 森林 DDPAT,51,4439.5,8430.08,1.9,2024-06-17
蝴蝶刀,久经沙场,★,42538,蝴蝶刀（★） | 北方森林,156,4249.5,6192.62,1.46,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43426,蝴蝶刀（★ StatTrak™） | 狩猎网格,22,4221.5,6889.23,1.63,2024-06-17
蝴蝶刀,略有磨损,★,42573,蝴蝶刀（★） | 狩猎网格,60,4204,6599.98,1.57,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,43417,蝴蝶刀（★ StatTrak™） | 森林 DDPAT,4,4198,7106.29,1.69,2024-06-17
蝴蝶刀,久经沙场,★,42576,蝴蝶刀（★） | 枯焦之色,100,4188,6192.62,1.48,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,44647,蝴蝶刀（★ StatTrak™） | 枯焦之色,4,4187.5,7353.76,1.76,2024-06-17
蝴蝶刀,久经沙场,★,42560,蝴蝶刀（★） | 森林 DDPAT,124,4183.9,6166.58,1.47,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43396,蝴蝶刀（★ StatTrak™） | 北方森林,27,4178.5,7617.54,1.82,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,44542,蝴蝶刀（★ StatTrak™） | 枯焦之色,12,4168.5,6384.22,1.53,2024-06-17
蝴蝶刀,久经沙场,★,42594,蝴蝶刀（★） | 都市伪装,152,4149.5,5919.19,1.43,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43440,蝴蝶刀（★ StatTrak™） | 都市伪装,27,4119,6735.14,1.64,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,645513,蝴蝶刀（★ StatTrak™） | 北方森林,5,4099.5,5993.12,1.46,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,43442,蝴蝶刀（★ StatTrak™） | 都市伪装,5,4099.5,6028.74,1.47,2024-06-17
蝴蝶刀,破损不堪,★,42540,蝴蝶刀（★） | 北方森林,25,4099.5,6763.43,1.65,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43439,蝴蝶刀（★ StatTrak™） | 都市伪装,19,4099.4,11701.48,2.85,2024-06-17
蝴蝶刀,战痕累累,★,42593,蝴蝶刀（★） | 都市伪装,50,4098.5,9670.65,2.36,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43427,蝴蝶刀（★ StatTrak™） | 枯焦之色,34,4094,6363.77,1.55,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43415,蝴蝶刀（★ StatTrak™） | 森林 DDPAT,28,4090.5,6676.37,1.63,2024-06-17
蝴蝶刀,破损不堪,★,42596,蝴蝶刀（★） | 都市伪装,28,4088.99,6192.62,1.51,2024-06-17
蝴蝶刀,破损不堪,★,42578,蝴蝶刀（★） | 枯焦之色,29,4079,7925.87,1.94,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,45014,蝴蝶刀（★ StatTrak™） | 北方森林,10,4074.5,5437.18,1.33,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,45474,蝴蝶刀（★ StatTrak™） | 狩猎网格,8,4069,11843.32,2.91,2024-06-17
蝴蝶刀,久经沙场,★,42572,蝴蝶刀（★） | 狩猎网格,73,4068.5,5948.94,1.46,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43425,蝴蝶刀（★ StatTrak™） | 狩猎网格,31,4059.5,5840.11,1.44,2024-06-17
蝴蝶刀,战痕累累,★,42575,蝴蝶刀（★） | 枯焦之色,59,4059.5,6579.67,1.62,2024-06-17
蝴蝶刀,破损不堪,★,42562,蝴蝶刀（★） | 森林 DDPAT,24,4049.5,5508.71,1.36,2024-06-17
蝴蝶刀,战痕累累,★,42536,蝴蝶刀（★） | 北方森林,53,4049.5,6187.18,1.53,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43424,蝴蝶刀（★ StatTrak™） | 狩猎网格,14,4048.5,5840.11,1.44,2024-06-17
蝴蝶刀,战痕累累,★,42558,蝴蝶刀（★） | 森林 DDPAT,49,4039.5,5986.59,1.48,2024-06-17
蝴蝶刀,战痕累累,★,42571,蝴蝶刀（★） | 狩猎网格,46,4036,6166.58,1.53,2024-06-17
蝴蝶刀,破损不堪,★,42574,蝴蝶刀（★） | 狩猎网格,23,4033.5,9436.9,2.34,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43414,蝴蝶刀（★ StatTrak™） | 森林 DDPAT,13,4032.49,5960.47,1.48,2024-06-17
蝴蝶刀,战痕累累,★,42565,蝴蝶刀（★） | 噩梦之夜,66,4499.5,7740.87,1.72,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,43436,蝴蝶刀（★ StatTrak™） | 致命紫罗兰,16,4499,6258.14,1.39,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43416,蝴蝶刀（★ StatTrak™） | 森林 DDPAT,13,4449,8514.89,1.91,2024-06-17
蝴蝶刀,略有磨损,★,42561,蝴蝶刀（★） | 森林 DDPAT,51,4439.5,8430.08,1.9,2024-06-17
蝴蝶刀,久经沙场,★,42538,蝴蝶刀（★） | 北方森林,156,4249.5,6192.62,1.46,2024-06-17
蝴蝶刀,略有磨损,★ StatTrak™,43426,蝴蝶刀（★ StatTrak™） | 狩猎网格,22,4221.5,6889.23,1.63,2024-06-17
蝴蝶刀,略有磨损,★,42573,蝴蝶刀（★） | 狩猎网格,60,4204,6599.98,1.57,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,43417,蝴蝶刀（★ StatTrak™） | 森林 DDPAT,4,4198,7106.29,1.69,2024-06-17
蝴蝶刀,久经沙场,★,42576,蝴蝶刀（★） | 枯焦之色,100,4188,6192.62,1.48,2024-06-17
蝴蝶刀,破损不堪,★ StatTrak™,44647,蝴蝶刀（★ StatTrak™） | 枯焦之色,4,4187.5,7353.76,1.76,2024-06-17
蝴蝶刀,久经沙场,★,42560,蝴蝶刀（★） | 森林 DDPAT,124,4183.9,6166.58,1.47,2024-06-17
蝴蝶刀,久经沙场,★ StatTrak™,43396,蝴蝶刀（★ StatTrak™） | 北方森林,27,4178.5,7617.54,1.82,2024-06-17
蝴蝶刀,战痕累累,★ StatTrak™,44542,蝴蝶刀（★ StatTrak™） | 枯焦之色,12,4168.5,6384.22,1.53,2024-06-17
