AUG,崭新出厂,普通,33984,AUG | 秋叶原之选,41,28199,25092.03,0.89,2024-06-16
AUG,略有磨损,普通,835445,AUG | 璞玉,34,96.34,122.75,1.27,2024-06-16
AUG,崭新出厂,普通,769483,AUG | 动量,113,94.9,134.79,1.42,2024-06-16
AUG,久经沙场,普通,835974,AUG | 璞玉,13,94.89,141.32,1.49,2024-06-16
AUG,崭新出厂,纪念品,37519,AUG（纪念品） | 殖民侵略者,19,88.9,91.92,1.03,2024-06-16
AUG,破损不堪,StatTrak™,38272,AUG（StatTrak™） | 力矩,15,85.14,101.42,1.19,2024-06-16
AUG,战痕累累,StatTrak™,38268,AUG（StatTrak™） | 力矩,5,84.19,88.73,1.05,2024-06-16
AUG,久经沙场,纪念品,37538,AUG（纪念品） | 暴风呼啸,27,83.97,106.57,1.27,2024-06-16
AUG,久经沙场,StatTrak™,38245,AUG（StatTrak™） | 孟加拉猛虎,29,83.85,106.86,1.27,2024-06-16
AUG,崭新出厂,StatTrak™,45447,AUG（StatTrak™） | 湖怪鸟,108,82.22,113.1,1.38,2024-06-16
AUG,略有磨损,StatTrak™,769469,AUG（StatTrak™） | 动量,106,81,108.17,1.34,2024-06-16
AUG,久经沙场,StatTrak™,38270,AUG（StatTrak™） | 力矩,26,78.8,111.51,1.42,2024-06-16
AUG,破损不堪,StatTrak™,38247,AUG（StatTrak™） | 孟加拉猛虎,8,77.99,111.51,1.43,2024-06-16
AUG,战痕累累,StatTrak™,38243,AUG（StatTrak™） | 孟加拉猛虎,8,76.9,99.68,1.3,2024-06-16
AUG,略有磨损,StatTrak™,773788,AUG（StatTrak™） | 汪之萌杀,65,75.29,100.55,1.34,2024-06-16
AUG,战痕累累,纪念品,37527,AUG（纪念品） | 雇佣兵,10,74.9,121.37,1.62,2024-06-16
AUG,崭新出厂,普通,34054,AUG | 力矩,110,72.8,96.92,1.33,2024-06-16
AUG,战痕累累,StatTrak™,38248,AUG（StatTrak™） | 变色龙,10,64.78,86.91,1.34,2024-06-16
AUG,崭新出厂,普通,773667,AUG | 汪之萌杀,208,64.7,87.06,1.35,2024-06-16
AUG,久经沙场,纪念品,37528,AUG（纪念品） | 雇佣兵,44,64.15,102.73,1.6,2024-06-16
AUG,略有磨损,StatTrak™,38251,AUG（StatTrak™） | 变色龙,95,63.9,94.82,1.48,2024-06-16
AUG,破损不堪,StatTrak™,38252,AUG（StatTrak™） | 变色龙,9,61.16,81.91,1.34,2024-06-16
AUG,崭新出厂,普通,34006,AUG | 殖民侵略者,7,61.05,114.7,1.88,2024-06-16
AUG,战痕累累,普通,34053,AUG | 力矩,3,60.72,75.96,1.25,2024-06-16
AUG,破损不堪,普通,34057,AUG | 力矩,3,59.9,77.34,1.29,2024-06-16
AUG,崭新出厂,普通,34027,AUG | 燕群,172,59.7,79.22,1.33,2024-06-16
AUG,略有磨损,普通,34056,AUG | 力矩,85,58.89,77.84,1.32,2024-06-16
AUG,久经沙场,普通,34055,AUG | 力矩,31,53.8,72.55,1.35,2024-06-16
AUG,战痕累累,纪念品,762670,AUG（纪念品） | 随机存取,6,53.62,79.0,1.47,2024-06-16
AUG,久经沙场,StatTrak™,773704,AUG（StatTrak™） | 汪之萌杀,33,52.05,77.84,1.5,2024-06-16
AUG,破损不堪,StatTrak™,773818,AUG（StatTrak™） | 汪之萌杀,2,50.14,73.13,1.46,2024-06-16
AUG,略有磨损,普通,33998,AUG | 孟加拉猛虎,71,50.1,66.53,1.33,2024-06-16
AUG,略有磨损,StatTrak™,38256,AUG（StatTrak™） | 燕群,63,49,80.31,1.64,2024-06-16
AUG,略有磨损,StatTrak™,776073,AUG（StatTrak™） | 极地孤狼,136,47.78,69.86,1.46,2024-06-16
AUG,崭新出厂,纪念品,877037,AUG（纪念品） | 璞玉,536,45.7,59.63,1.3,2024-06-16
AUG,略有磨损,StatTrak™,38266,AUG（StatTrak™） | 席德.米德,139,45.68,66.09,1.45,2024-06-16
AUG,破损不堪,纪念品,761499,AUG（纪念品） | 随机存取,9,44.42,79.37,1.79,2024-06-16
AUG,崭新出厂,普通,34049,AUG | 席德.米德,237,43.7,60.94,1.39,2024-06-16
AUG,略有磨损,普通,773678,AUG | 汪之萌杀,142,41.39,54.27,1.31,2024-06-16
AUG,崭新出厂,StatTrak™,38239,AUG（StatTrak™） | 贵族,112,40.88,58.18,1.42,2024-06-16
AUG,战痕累累,普通,33995,AUG | 孟加拉猛虎,5,39.89,50.35,1.26,2024-06-16
AUG,崭新出厂,普通,34022,AUG | 代达罗斯之殇,26,39.88,45.49,1.14,2024-06-16
AUG,久经沙场,StatTrak™,38250,AUG（StatTrak™） | 变色龙,67,39.2,55.06,1.4,2024-06-16
AUG,破损不堪,普通,33999,AUG | 孟加拉猛虎,15,39.18,47.08,1.2,2024-06-16
AUG,崭新出厂,普通,45245,AUG | 湖怪鸟,281,38.9,52.67,1.35,2024-06-16
AUG,破损不堪,StatTrak™,776103,AUG（StatTrak™） | 极地孤狼,14,37.88,61.3,1.62,2024-06-16
AUG,略有磨损,普通,34024,AUG | 代达罗斯之殇,5,37.78,44.47,1.18,2024-06-16
AUG,久经沙场,普通,773643,AUG | 汪之萌杀,55,37.68,51.73,1.37,2024-06-16
AUG,久经沙场,普通,871077,AUG | 朽木,17,37,44.18,1.19,2024-06-16
AUG,崭新出厂,普通,871335,AUG | 朽木,115,36.34,46.87,1.29,2024-06-16
AUG,破损不堪,普通,871273,AUG | 朽木,13,35.9,44.47,1.24,2024-06-16
AUG,破损不堪,StatTrak™,38257,AUG（StatTrak™） | 燕群,14,35.89,31.27,0.87,2024-06-16
AUG,战痕累累,普通,871571,AUG | 朽木,15,34.9,46.5,1.33,2024-06-16
AUG,破损不堪,普通,773811,AUG | 汪之萌杀,1,34.9,49.77,1.43,2024-06-16
AUG,崭新出厂,普通,775252,AUG | 极地孤狼,269,33.96,48.03,1.41,2024-06-16
AUG,略有磨损,普通,871312,AUG | 朽木,33,33.9,46.29,1.37,2024-06-16
AUG,久经沙场,普通,33997,AUG | 孟加拉猛虎,73,33.83,43.38,1.28,2024-06-16
AUG,战痕累累,普通,34021,AUG | 代达罗斯之殇,8,33.8,44.76,1.32,2024-06-16
AUG,久经沙场,普通,34023,AUG | 代达罗斯之殇,14,32.9,41.06,1.25,2024-06-16
AUG,略有磨损,StatTrak™,45304,AUG（StatTrak™） | 湖怪鸟,120,32.89,46.87,1.43,2024-06-16
AUG,崭新出厂,纪念品,37532,AUG（纪念品） | 辐射危机,382,32.17,48.46,1.51,2024-06-16
AUG,破损不堪,普通,34025,AUG | 代达罗斯之殇,2,32.09,43.46,1.35,2024-06-16
AUG,崭新出厂,纪念品,876963,AUG（纪念品） | 夜空沙暴,220,31.8,48.9,1.54,2024-06-16
AUG,崭新出厂,普通,775080,AUG | 穆拉诺之蓝,79,31.12,40.7,1.31,2024-06-16
AUG,略有磨损,普通,34029,AUG | 燕群,152,29.8,38.81,1.3,2024-06-16
AUG,略有磨损,普通,769269,AUG | 动量,440,28.49,38.67,1.36,2024-06-16
AUG,破损不堪,普通,34009,AUG | 殖民侵略者,64,28.43,40.41,1.42,2024-06-16
AUG,久经沙场,StatTrak™,775270,AUG（StatTrak™） | 极地孤狼,176,26.4,37.0,1.4,2024-06-16
AUG,久经沙场,StatTrak™,38255,AUG（StatTrak™） | 燕群,68,26.1,33.95,1.3,2024-06-16
AUG,崭新出厂,纪念品,761535,AUG（纪念品） | 随机存取,73,25.58,32.5,1.27,2024-06-16
AUG,崭新出厂,普通,34001,AUG | 变色龙,635,25.29,34.03,1.35,2024-06-16
AUG,崭新出厂,StatTrak™,871790,AUG（StatTrak™） | 瘟疫,70,24.39,35.55,1.46,2024-06-16
AUG,崭新出厂,普通,762193,AUG | 随机存取,312,23.74,31.7,1.34,2024-06-16
AUG,久经沙场,StatTrak™,769258,AUG（StatTrak™） | 动量,163,23.69,33.08,1.4,2024-06-16
AUG,略有磨损,纪念品,877052,AUG（纪念品） | 璞玉,242,23.54,30.91,1.31,2024-06-16
AUG,略有磨损,普通,34051,AUG | 席德.米德,398,23.5,29.31,1.25,2024-06-16
AUG,略有磨损,纪念品,37534,AUG（纪念品） | 辐射危机,401,22.79,33.15,1.45,2024-06-16
AUG,战痕累累,StatTrak™,38253,AUG（StatTrak™） | 燕群,31,21.48,28.8,1.34,2024-06-16
AUG,略有磨损,普通,34008,AUG | 殖民侵略者,10,19.9,26.77,1.35,2024-06-16
AUG,久经沙场,纪念品,877090,AUG（纪念品） | 璞玉,51,19.78,26.77,1.35,2024-06-16
AUG,略有磨损,纪念品,876873,AUG（纪念品） | 夜空沙暴,171,19.78,30.11,1.52,2024-06-16
AUG,久经沙场,StatTrak™,38265,AUG（StatTrak™） | 席德.米德,210,19.4,27.93,1.44,2024-06-16
AUG,略有磨损,普通,775166,AUG | 极地孤狼,425,19.1,25.03,1.31,2024-06-16
AUG,破损不堪,StatTrak™,38267,AUG（StatTrak™） | 席德.米德,20,18.77,26.77,1.43,2024-06-16
AUG,战痕累累,纪念品,877065,AUG（纪念品） | 夜空沙暴,21,18.5,19.37,1.05,2024-06-16
AUG,略有磨损,普通,45380,AUG | 湖怪鸟,350,18.09,23.14,1.28,2024-06-16
AUG,崭新出厂,StatTrak™,38274,AUG（StatTrak™） | 三角战术,115,17.25,26.7,1.55,2024-06-16
AUG,略有磨损,StatTrak™,38241,AUG（StatTrak™） | 贵族,148,17.2,26.33,1.53,2024-06-16
AUG,战痕累累,普通,34005,AUG | 殖民侵略者,4,17.15,23.36,1.36,2024-06-16
AUG,战痕累累,StatTrak™,38263,AUG（StatTrak™） | 席德.米德,29,17.12,22.13,1.29,2024-06-16
AUG,久经沙场,普通,34007,AUG | 殖民侵略者,22,16.79,22.93,1.37,2024-06-16
AUG,破损不堪,StatTrak™,769472,AUG（StatTrak™） | 动量,44,16.78,22.78,1.36,2024-06-16
AUG,崭新出厂,普通,34034,AUG | 辐射危机,73,16.77,22.49,1.34,2024-06-16
AUG,略有磨损,普通,34036,AUG | 辐射危机,33,16.27,20.97,1.29,2024-06-16
AUG,破损不堪,普通,34052,AUG | 席德.米德,16,15.78,21.26,1.35,2024-06-16
AUG,略有磨损,普通,34003,AUG | 变色龙,649,15.69,22.93,1.46,2024-06-16
AUG,战痕累累,普通,34000,AUG | 变色龙,22,15.68,21.84,1.39,2024-06-16
AUG,战痕累累,StatTrak™,769257,AUG（StatTrak™） | 动量,69,15.16,18.57,1.22,2024-06-16
AUG,略有磨损,纪念品,761557,AUG（纪念品） | 随机存取,50,15.08,20.31,1.35,2024-06-16
AUG,久经沙场,普通,34035,AUG | 辐射危机,22,14.65,18.14,1.24,2024-06-16
AUG,破损不堪,普通,34004,AUG | 变色龙,9,14.6,19.59,1.34,2024-06-16
AUG,略有磨损,StatTrak™,871517,AUG（StatTrak™） | 瘟疫,46,14.42,20.97,1.45,2024-06-16
AUG,破损不堪,普通,34037,AUG | 辐射危机,15,14.29,18.57,1.3,2024-06-16
AUG,战痕累累,普通,34033,AUG | 辐射危机,8,14.14,17.63,1.25,2024-06-16
AUG,崭新出厂,StatTrak™,38259,AUG（StatTrak™） | 弹跳线条,96,13.99,19.3,1.38,2024-06-16
AUG,破损不堪,纪念品,877019,AUG（纪念品） | 夜空沙暴,31,13.45,19.52,1.45,2024-06-16
AUG,略有磨损,普通,774785,AUG | 穆拉诺之蓝,52,13.4,17.56,1.31,2024-06-16
AUG,破损不堪,StatTrak™,38242,AUG（StatTrak™） | 贵族,11,13.18,22.2,1.68,2024-06-16
AUG,久经沙场,普通,34028,AUG | 燕群,185,13.1,17.92,1.37,2024-06-16
AUG,久经沙场,纪念品,876968,AUG（纪念品） | 夜空沙暴,304,13,19.44,1.5,2024-06-16
AUG,久经沙场,StatTrak™,45303,AUG（StatTrak™） | 湖怪鸟,315,12.8,18.94,1.48,2024-06-16
AUG,破损不堪,StatTrak™,45466,AUG（StatTrak™） | 湖怪鸟,30,12.6,18.14,1.44,2024-06-16
AUG,战痕累累,StatTrak™,776068,AUG（StatTrak™） | 极地孤狼,7,12.4,19.01,1.53,2024-06-16
AUG,久经沙场,普通,34002,AUG | 变色龙,410,12.15,16.11,1.33,2024-06-16
AUG,崭新出厂,普通,33991,AUG | 贵族,326,11.59,15.89,1.37,2024-06-16
AUG,破损不堪,普通,34030,AUG | 燕群,35,11.09,15.24,1.37,2024-06-16
AUG,久经沙场,普通,775242,AUG | 极地孤狼,493,10.9,14.58,1.34,2024-06-16
AUG,战痕累累,纪念品,37531,AUG（纪念品） | 辐射危机,38,10.79,16.47,1.53,2024-06-16
AUG,战痕累累,StatTrak™,45446,AUG（StatTrak™） | 湖怪鸟,30,10.78,17.48,1.62,2024-06-16
AUG,战痕累累,普通,34026,AUG | 燕群,52,10.4,14.29,1.37,2024-06-16
AUG,崭新出厂,普通,871601,AUG | 瘟疫,67,9.9,12.99,1.31,2024-06-16
AUG,久经沙场,普通,34050,AUG | 席德.米德,653,9.9,13.35,1.35,2024-06-16
AUG,破损不堪,纪念品,37535,AUG（纪念品） | 辐射危机,41,9.97,16.47,1.65,2024-06-16
AUG,略有磨损,普通,762195,AUG | 随机存取,342,9.85,14.15,1.44,2024-06-16
AUG,久经沙场,普通,775294,AUG | 穆拉诺之蓝,47,9.69,12.26,1.27,2024-06-16
AUG,崭新出厂,普通,871111,AUG | 渐变琥珀,571,9.59,13.71,1.43,2024-06-16
AUG,破损不堪,普通,871788,AUG | 渐变琥珀,32,9.56,10.23,1.07,2024-06-16
AUG,崭新出厂,StatTrak™,779260,AUG（StatTrak™） | 汤姆猫,172,9.28,11.39,1.23,2024-06-16
AUG,破损不堪,普通,775620,AUG | 极地孤狼,38,9.22,12.19,1.32,2024-06-16
AUG,破损不堪,StatTrak™,871867,AUG（StatTrak™） | 瘟疫,8,9.15,9.79,1.07,2024-06-16
AUG,战痕累累,普通,774744,AUG | 穆拉诺之蓝,29,9.07,11.17,1.23,2024-06-16
AUG,久经沙场,普通,769137,AUG | 动量,1015,9.01,12.77,1.42,2024-06-16
AUG,崭新出厂,StatTrak™,759278,AUG（StatTrak™） | 琥珀冲流,121,8.51,10.95,1.29,2024-06-16
AUG,破损不堪,普通,774876,AUG | 穆拉诺之蓝,39,8.32,11.1,1.33,2024-06-16
AUG,久经沙场,纪念品,37533,AUG（纪念品） | 辐射危机,558,8.24,11.39,1.38,2024-06-16
AUG,战痕累累,StatTrak™,38238,AUG（StatTrak™） | 贵族,36,8.08,12.26,1.52,2024-06-16
AUG,战痕累累,普通,34048,AUG | 席德.米德,39,7.91,10.37,1.31,2024-06-16
AUG,略有磨损,普通,871236,AUG | 渐变琥珀,118,7.89,11.03,1.4,2024-06-16
AUG,破损不堪,普通,769282,AUG | 动量,113,7.77,10.45,1.34,2024-06-16
AUG,久经沙场,StatTrak™,38240,AUG（StatTrak™） | 贵族,162,7.76,11.39,1.47,2024-06-16
AUG,久经沙场,普通,45246,AUG | 湖怪鸟,684,7.69,10.01,1.3,2024-06-16
AUG,战痕累累,普通,775832,AUG | 极地孤狼,77,7.64,9.5,1.24,2024-06-16
AUG,破损不堪,普通,45445,AUG | 湖怪鸟,30,7.49,8.85,1.18,2024-06-16
AUG,久经沙场,普通,871095,AUG | 渐变琥珀,75,7.15,9.5,1.33,2024-06-16
AUG,久经沙场,纪念品,761536,AUG（纪念品） | 随机存取,66,7.1,10.37,1.46,2024-06-16
AUG,战痕累累,普通,769234,AUG | 动量,179,6.96,9.21,1.32,2024-06-16
AUG,久经沙场,StatTrak™,871424,AUG（StatTrak™） | 瘟疫,61,6.89,9.14,1.33,2024-06-16
AUG,破损不堪,StatTrak™,38262,AUG（StatTrak™） | 弹跳线条,10,6.88,8.92,1.3,2024-06-16
AUG,崭新出厂,普通,835388,AUG | 搜索,174,6.49,8.13,1.25,2024-06-16
AUG,战痕累累,普通,45379,AUG | 湖怪鸟,74,6.49,9.29,1.43,2024-06-16
AUG,略有磨损,普通,835391,AUG | 搜索,75,6.09,7.47,1.23,2024-06-16
AUG,略有磨损,普通,871251,AUG | 瘟疫,75,6.04,8.63,1.43,2024-06-16
AUG,略有磨损,纪念品,37521,AUG（纪念品） | 殖民侵略者,317,5.99,7.47,1.25,2024-06-16
AUG,破损不堪,普通,835429,AUG | 搜索,29,5.98,6.96,1.16,2024-06-16
AUG,久经沙场,普通,835335,AUG | 搜索,218,5.89,7.33,1.24,2024-06-16
AUG,战痕累累,普通,835345,AUG | 搜索,41,5.8,6.96,1.2,2024-06-16
AUG,略有磨损,StatTrak™,38261,AUG（StatTrak™） | 弹跳线条,155,5.48,7.91,1.44,2024-06-16
AUG,略有磨损,普通,33993,AUG | 贵族,272,5.42,7.62,1.41,2024-06-16
AUG,战痕累累,StatTrak™,871491,AUG（StatTrak™） | 瘟疫,14,4.9,7.54,1.54,2024-06-16
AUG,久经沙场,普通,871130,AUG | 瘟疫,110,4.37,5.3,1.21,2024-06-16
AUG,久经沙场,普通,762194,AUG | 随机存取,151,4.34,5.59,1.29,2024-06-16
AUG,略有磨损,StatTrak™,759279,AUG（StatTrak™） | 琥珀冲流,105,4.16,5.88,1.41,2024-06-16
AUG,破损不堪,纪念品,37522,AUG（纪念品） | 殖民侵略者,102,3.51,4.72,1.34,2024-06-16
AUG,破损不堪,普通,762196,AUG | 随机存取,24,3.49,4.35,1.25,2024-06-16
AUG,崭新出厂,普通,34039,AUG | 弹跳线条,438,3.38,4.35,1.29,2024-06-16
AUG,战痕累累,普通,762192,AUG | 随机存取,30,3.27,3.85,1.18,2024-06-16
AUG,久经沙场,普通,33992,AUG | 贵族,318,3.25,4.14,1.27,2024-06-16
AUG,破损不堪,普通,33994,AUG | 贵族,21,3.18,4.57,1.44,2024-06-16
AUG,破损不堪,普通,871337,AUG | 瘟疫,8,3.06,4.14,1.35,2024-06-16
AUG,战痕累累,普通,33990,AUG | 贵族,114,2.8,3.99,1.43,2024-06-16
AUG,战痕累累,普通,871600,AUG | 瘟疫,30,2.52,3.92,1.56,2024-06-16
AUG,崭新出厂,普通,759190,AUG | 琥珀冲流,179,2.38,3.05,1.28,2024-06-16
AUG,略有磨损,StatTrak™,38276,AUG（StatTrak™） | 三角战术,413,2.37,3.12,1.32,2024-06-16
AUG,崭新出厂,普通,34044,AUG | 暴风呼啸,467,2.34,3.12,1.33,2024-06-16
AUG,崭新出厂,普通,34059,AUG | 三角战术,262,2.28,3.48,1.53,2024-06-16
AUG,久经沙场,StatTrak™,759218,AUG（StatTrak™） | 琥珀冲流,137,2.18,2.47,1.13,2024-06-16
AUG,略有磨损,StatTrak™,779259,AUG（StatTrak™） | 汤姆猫,348,2.11,3.05,1.45,2024-06-16
AUG,破损不堪,StatTrak™,759280,AUG（StatTrak™） | 琥珀冲流,18,2.03,3.05,1.5,2024-06-16
AUG,久经沙场,StatTrak™,38260,AUG（StatTrak™） | 弹跳线条,192,1.88,2.54,1.35,2024-06-16
AUG,崭新出厂,纪念品,929009,AUG（纪念品） | 蛇窟,388,1.7,2.03,1.19,2024-06-16
AUG,略有磨损,普通,759236,AUG | 琥珀冲流,154,1.57,2.32,1.48,2024-06-16
AUG,崭新出厂,普通,779294,AUG | 汤姆猫,452,1.51,2.25,1.49,2024-06-16
AUG,破损不堪,StatTrak™,779308,AUG（StatTrak™） | 汤姆猫,22,1.49,2.03,1.36,2024-06-16
AUG,破损不堪,普通,759237,AUG | 琥珀冲流,16,1.47,1.31,0.89,2024-06-16
AUG,久经沙场,纪念品,37520,AUG（纪念品） | 殖民侵略者,846,1.44,1.81,1.26,2024-06-16
AUG,战痕累累,纪念品,37518,AUG（纪念品） | 殖民侵略者,165,1.4,2.18,1.56,2024-06-16
AUG,略有磨损,普通,34041,AUG | 弹跳线条,571,1.4,1.89,1.35,2024-06-16
AUG,战痕累累,StatTrak™,759277,AUG（StatTrak™） | 琥珀冲流,26,1.39,2.47,1.78,2024-06-16
AUG,战痕累累,StatTrak™,38258,AUG（StatTrak™） | 弹跳线条,49,1.17,1.38,1.18,2024-06-16
AUG,崭新出厂,普通,34011,AUG | 众枪之的,64,1.17,1.52,1.3,2024-06-16
AUG,久经沙场,普通,759217,AUG | 琥珀冲流,140,1.16,1.45,1.25,2024-06-16
AUG,战痕累累,普通,759235,AUG | 琥珀冲流,26,0.99,1.45,1.46,2024-06-16
AUG,久经沙场,StatTrak™,38275,AUG（StatTrak™） | 三角战术,219,0.96,1.38,1.44,2024-06-16
AUG,战痕累累,纪念品,877194,AUG（纪念品） | 朽木,31,0.83,1.74,2.1,2024-06-16
AUG,崭新出厂,普通,927301,AUG | 蛇窟,1351,0.84,1.09,1.3,2024-06-16
AUG,崭新出厂,纪念品,761351,AUG（纪念品） | 扫频仪,668,0.78,1.09,1.4,2024-06-16
AUG,久经沙场,StatTrak™,779258,AUG（StatTrak™） | 汤姆猫,459,0.75,0.94,1.25,2024-06-16
AUG,略有磨损,普通,34061,AUG | 三角战术,486,0.74,1.09,1.47,2024-06-16
AUG,久经沙场,普通,34040,AUG | 弹跳线条,376,0.67,0.94,1.4,2024-06-16
AUG,略有磨损,普通,779209,AUG | 汤姆猫,764,0.66,0.87,1.32,2024-06-16
AUG,战痕累累,StatTrak™,779310,AUG（StatTrak™） | 汤姆猫,60,0.62,1.02,1.65,2024-06-16
AUG,破损不堪,StatTrak™,38277,AUG（StatTrak™） | 三角战术,95,0.62,1.02,1.65,2024-06-16
AUG,战痕累累,StatTrak™,38273,AUG（StatTrak™） | 三角战术,62,0.61,1.02,1.67,2024-06-16
AUG,破损不堪,普通,34042,AUG | 弹跳线条,49,0.58,0.87,1.5,2024-06-16
AUG,略有磨损,普通,34012,AUG | 众枪之的,336,0.47,0.58,1.23,2024-06-16
AUG,破损不堪,纪念品,761369,AUG（纪念品） | 扫频仪,80,0.46,0.8,1.74,2024-06-16
AUG,略有磨损,纪念品,929017,AUG（纪念品） | 蛇窟,283,0.44,0.65,1.48,2024-06-16
AUG,崭新出厂,普通,34015,AUG | 雇佣兵,110,0.43,0.58,1.35,2024-06-16
AUG,崭新出厂,纪念品,877124,AUG（纪念品） | 朽木,291,0.39,0.65,1.67,2024-06-16
AUG,战痕累累,普通,779212,AUG | 汤姆猫,65,0.39,0.51,1.31,2024-06-16
AUG,久经沙场,普通,34060,AUG | 三角战术,261,0.39,0.65,1.67,2024-06-16
AUG,久经沙场,普通,779187,AUG | 汤姆猫,521,0.34,0.51,1.5,2024-06-16
AUG,战痕累累,普通,34038,AUG | 弹跳线条,69,0.34,0.58,1.71,2024-06-16
AUG,略有磨损,普通,927298,AUG | 蛇窟,564,0.33,0.58,1.76,2024-06-16
AUG,破损不堪,普通,779241,AUG | 汤姆猫,37,0.31,0.58,1.87,2024-06-16
