SCAR-20,崭新出厂,普通,36428,SCAR-20 | 溅射果酱,2,28499.5,7140.03,0.25,2024-06-17
SCAR-20,略有磨损,纪念品,37973,SCAR-20（纪念品） | 雇佣兵,7,66.82,103.45,1.55,2024-06-17
SCAR-20,久经沙场,StatTrak™,39455,SCAR-20（StatTrak™） | 心脏打击,29,59.6,80.17,1.35,2024-06-17
SCAR-20,战痕累累,纪念品,37970,SCAR-20（纪念品） | 雇佣兵,11,52.52,64.5,1.23,2024-06-17
SCAR-20,略有磨损,StatTrak™,39446,SCAR-20（StatTrak™） | 血腥运动,56,51.25,66.74,1.3,2024-06-17
SCAR-20,略有磨损,StatTrak™,39461,SCAR-20（StatTrak™） | 深红之网,23,50.9,60.14,1.18,2024-06-17
SCAR-20,破损不堪,StatTrak™,39457,SCAR-20（StatTrak™） | 心脏打击,13,49.9,68.7,1.38,2024-06-17
SCAR-20,崭新出厂,普通,36359,SCAR-20 | 血腥运动,196,47.6,63.48,1.33,2024-06-17
SCAR-20,久经沙场,StatTrak™,39460,SCAR-20（StatTrak™） | 深红之网,30,45.4,54.85,1.21,2024-06-17
SCAR-20,破损不堪,普通,36431,SCAR-20 | 溅射果酱,5,44.8,61.3,1.37,2024-06-17
SCAR-20,战痕累累,StatTrak™,39453,SCAR-20（StatTrak™） | 心脏打击,10,44.09,65.66,1.49,2024-06-17
SCAR-20,崭新出厂,纪念品,37976,SCAR-20（纪念品） | 沙漠网格,20,39.58,56.88,1.44,2024-06-17
SCAR-20,久经沙场,普通,36429,SCAR-20 | 溅射果酱,50,39.46,64.57,1.64,2024-06-17
SCAR-20,久经沙场,纪念品,37972,SCAR-20（纪念品） | 雇佣兵,17,38.43,54.85,1.43,2024-06-17
SCAR-20,破损不堪,StatTrak™,39462,SCAR-20（StatTrak™） | 深红之网,7,37.9,45.27,1.19,2024-06-17
SCAR-20,战痕累累,StatTrak™,39458,SCAR-20（StatTrak™） | 深红之网,7,35.9,45.92,1.28,2024-06-17
SCAR-20,略有磨损,普通,36383,SCAR-20 | 深红之网,41,35.85,46.36,1.29,2024-06-17
SCAR-20,破损不堪,StatTrak™,39447,SCAR-20（StatTrak™） | 血腥运动,7,34.9,33.08,0.95,2024-06-17
SCAR-20,战痕累累,普通,36427,SCAR-20 | 溅射果酱,19,34.41,58.18,1.69,2024-06-17
SCAR-20,久经沙场,普通,36382,SCAR-20 | 深红之网,43,32.59,41.06,1.26,2024-06-17
SCAR-20,久经沙场,StatTrak™,39445,SCAR-20（StatTrak™） | 血腥运动,83,31.68,41.21,1.3,2024-06-17
SCAR-20,破损不堪,普通,36384,SCAR-20 | 深红之网,26,30.62,41.93,1.37,2024-06-17
SCAR-20,战痕累累,普通,36380,SCAR-20 | 深红之网,24,30.22,38.81,1.28,2024-06-17
SCAR-20,略有磨损,普通,36373,SCAR-20 | 心脏打击,119,29.9,40.05,1.34,2024-06-17
SCAR-20,略有磨损,普通,36361,SCAR-20 | 血腥运动,138,29.8,38.74,1.3,2024-06-17
SCAR-20,崭新出厂,StatTrak™,779331,SCAR-20（StatTrak™） | 执行者,75,28.66,40.63,1.42,2024-06-17
SCAR-20,崭新出厂,StatTrak™,39489,SCAR-20（StatTrak™） | 权力之心,44,27.9,37.14,1.33,2024-06-17
SCAR-20,崭新出厂,普通,775523,SCAR-20 | 石砌,13,27.19,40.63,1.49,2024-06-17
SCAR-20,崭新出厂,普通,36356,SCAR-20 | 军队之辉,45,26.43,32.65,1.24,2024-06-17
SCAR-20,破损不堪,普通,36436,SCAR-20 | 暴风呼啸,15,24.65,30.11,1.22,2024-06-17
SCAR-20,略有磨损,普通,36435,SCAR-20 | 暴风呼啸,46,24.9,31.41,1.26,2024-06-17
SCAR-20,战痕累累,普通,36370,SCAR-20 | 心脏打击,14,24.15,24.81,1.03,2024-06-17
SCAR-20,破损不堪,普通,36374,SCAR-20 | 心脏打击,14,22.58,26.99,1.2,2024-06-17
SCAR-20,久经沙场,普通,36434,SCAR-20 | 暴风呼啸,67,22.37,28.73,1.28,2024-06-17
SCAR-20,战痕累累,普通,36432,SCAR-20 | 暴风呼啸,16,21.92,33.08,1.51,2024-06-17
SCAR-20,久经沙场,普通,36372,SCAR-20 | 心脏打击,80,21.8,31.12,1.43,2024-06-17
SCAR-20,破损不堪,普通,36362,SCAR-20 | 血腥运动,10,20.89,24.23,1.16,2024-06-17
SCAR-20,久经沙场,普通,36360,SCAR-20 | 血腥运动,137,20.2,24.23,1.2,2024-06-17
SCAR-20,久经沙场,普通,36357,SCAR-20 | 军队之辉,21,18.28,23.65,1.29,2024-06-17
SCAR-20,略有磨损,普通,36358,SCAR-20 | 军队之辉,22,17.55,22.2,1.26,2024-06-17
SCAR-20,略有磨损,普通,774777,SCAR-20 | 石砌,31,16.79,17.92,1.07,2024-06-17
SCAR-20,崭新出厂,StatTrak™,775619,SCAR-20（StatTrak™） | 撕起来,26,16.46,21.98,1.34,2024-06-17
SCAR-20,崭新出厂,纪念品,37968,SCAR-20（纪念品） | 碳素纤维,270,11.6,16.03,1.38,2024-06-17
SCAR-20,崭新出厂,StatTrak™,39469,SCAR-20（StatTrak™） | 绿色陆战队,16,11.45,15.38,1.34,2024-06-17
SCAR-20,略有磨损,StatTrak™,779326,SCAR-20（StatTrak™） | 执行者,128,11.04,13.93,1.26,2024-06-17
SCAR-20,略有磨损,纪念品,37969,SCAR-20（纪念品） | 碳素纤维,44,10.89,14.58,1.34,2024-06-17
SCAR-20,崭新出厂,普通,36418,SCAR-20 | 权力之心,94,10.89,16.9,1.55,2024-06-17
SCAR-20,略有磨损,纪念品,37983,SCAR-20（纪念品） | 暴风呼啸,195,9.97,14.22,1.43,2024-06-17
SCAR-20,崭新出厂,普通,779276,SCAR-20 | 执行者,248,9.89,13.93,1.41,2024-06-17
SCAR-20,略有磨损,StatTrak™,775872,SCAR-20（StatTrak™） | 撕起来,32,9.89,14.36,1.45,2024-06-17
SCAR-20,久经沙场,普通,774713,SCAR-20 | 石砌,54,9.84,12.91,1.31,2024-06-17
SCAR-20,破损不堪,普通,775293,SCAR-20 | 石砌,10,9.56,12.84,1.34,2024-06-17
SCAR-20,崭新出厂,StatTrak™,39474,SCAR-20（StatTrak™） | 蓝洞,123,9.24,12.62,1.37,2024-06-17
SCAR-20,略有磨损,StatTrak™,39491,SCAR-20（StatTrak™） | 权力之心,92,9.07,12.99,1.43,2024-06-17
SCAR-20,崭新出厂,StatTrak™,39484,SCAR-20（StatTrak™） | 丛林爆发,60,8.95,11.68,1.31,2024-06-17
SCAR-20,战痕累累,普通,775408,SCAR-20 | 石砌,14,8.52,11.68,1.37,2024-06-17
SCAR-20,崭新出厂,普通,774810,SCAR-20 | 撕起来,77,7.97,9.79,1.23,2024-06-17
SCAR-20,久经沙场,StatTrak™,774817,SCAR-20（StatTrak™） | 撕起来,41,6.16,7.47,1.21,2024-06-17
SCAR-20,崭新出厂,StatTrak™,39449,SCAR-20（StatTrak™） | 蓝图,155,5.99,9.58,1.6,2024-06-17
SCAR-20,略有磨损,StatTrak™,39486,SCAR-20（StatTrak™） | 丛林爆发,59,5.95,7.62,1.28,2024-06-17
SCAR-20,略有磨损,StatTrak™,39471,SCAR-20（StatTrak™） | 绿色陆战队,40,5.66,8.34,1.47,2024-06-17
SCAR-20,破损不堪,StatTrak™,775945,SCAR-20（StatTrak™） | 撕起来,1,5.17,7.69,1.49,2024-06-17
SCAR-20,略有磨损,StatTrak™,39476,SCAR-20（StatTrak™） | 蓝洞,94,4.97,7.04,1.42,2024-06-17
SCAR-20,崭新出厂,StatTrak™,773660,SCAR-20（StatTrak™） | 仓库突击,86,4.65,6.38,1.37,2024-06-17
SCAR-20,崭新出厂,StatTrak™,921573,SCAR-20（StatTrak™） | 碎片,245,4.47,7.62,1.7,2024-06-17
SCAR-20,略有磨损,普通,775082,SCAR-20 | 撕起来,71,4.37,5.95,1.36,2024-06-17
SCAR-20,久经沙场,纪念品,37982,SCAR-20（纪念品） | 暴风呼啸,474,4.36,6.24,1.43,2024-06-17
SCAR-20,久经沙场,StatTrak™,779305,SCAR-20（StatTrak™） | 执行者,190,4.29,6.02,1.4,2024-06-17
SCAR-20,破损不堪,StatTrak™,779278,SCAR-20（StatTrak™） | 执行者,32,4.14,5.01,1.21,2024-06-17
SCAR-20,略有磨损,普通,779193,SCAR-20 | 执行者,498,4.07,5.66,1.39,2024-06-17
SCAR-20,略有磨损,StatTrak™,39451,SCAR-20（StatTrak™） | 蓝图,176,3.99,5.15,1.29,2024-06-17
SCAR-20,久经沙场,StatTrak™,39490,SCAR-20（StatTrak™） | 权力之心,58,3.94,4.57,1.16,2024-06-17
SCAR-20,战痕累累,StatTrak™,779330,SCAR-20（StatTrak™） | 执行者,51,3.87,4.79,1.24,2024-06-17
SCAR-20,崭新出厂,StatTrak™,886676,SCAR-20（StatTrak™） | 暗夜活死鸡,407,3.78,5.08,1.34,2024-06-17
SCAR-20,崭新出厂,StatTrak™,39479,SCAR-20（StatTrak™） | 丛林滑流,116,3.74,5.01,1.34,2024-06-17
SCAR-20,破损不堪,纪念品,37984,SCAR-20（纪念品） | 暴风呼啸,64,3.69,4.79,1.3,2024-06-17
SCAR-20,略有磨损,普通,36420,SCAR-20 | 权力之心,181,3.57,5.15,1.44,2024-06-17
SCAR-20,破损不堪,StatTrak™,39477,SCAR-20（StatTrak™） | 蓝洞,11,3.46,5.44,1.57,2024-06-17
SCAR-20,破损不堪,普通,775487,SCAR-20 | 撕起来,24,3.43,4.35,1.27,2024-06-17
SCAR-20,久经沙场,StatTrak™,39475,SCAR-20（StatTrak™） | 蓝洞,105,3.29,4.21,1.28,2024-06-17
SCAR-20,崭新出厂,普通,36393,SCAR-20 | 绿色陆战队,100,3.18,4.43,1.39,2024-06-17
SCAR-20,战痕累累,StatTrak™,39473,SCAR-20（StatTrak™） | 蓝洞,25,3.06,4.35,1.42,2024-06-17
SCAR-20,破损不堪,StatTrak™,39492,SCAR-20（StatTrak™） | 权力之心,21,2.97,4.43,1.49,2024-06-17
SCAR-20,破损不堪,普通,36421,SCAR-20 | 权力之心,17,2.97,2.18,0.73,2024-06-17
SCAR-20,崭新出厂,普通,36398,SCAR-20 | 蓝洞,224,2.92,3.7,1.27,2024-06-17
SCAR-20,破损不堪,StatTrak™,39472,SCAR-20（StatTrak™） | 绿色陆战队,16,2.9,2.9,1.0,2024-06-17
SCAR-20,战痕累累,StatTrak™,39488,SCAR-20（StatTrak™） | 权力之心,33,2.77,4.43,1.6,2024-06-17
SCAR-20,久经沙场,普通,774976,SCAR-20 | 撕起来,62,2.76,3.99,1.45,2024-06-17
SCAR-20,战痕累累,纪念品,37980,SCAR-20（纪念品） | 暴风呼啸,92,2.64,4.57,1.73,2024-06-17
SCAR-20,崭新出厂,普通,36408,SCAR-20 | 丛林爆发,199,2.45,3.05,1.24,2024-06-17
SCAR-20,崭新出厂,普通,36364,SCAR-20 | 蓝图,301,2.41,3.34,1.39,2024-06-17
SCAR-20,久经沙场,StatTrak™,39470,SCAR-20（StatTrak™） | 绿色陆战队,90,2.27,2.9,1.28,2024-06-17
SCAR-20,略有磨损,普通,36395,SCAR-20 | 绿色陆战队,98,2.25,2.83,1.26,2024-06-17
SCAR-20,略有磨损,StatTrak™,773726,SCAR-20（StatTrak™） | 仓库突击,80,2.23,2.83,1.27,2024-06-17
SCAR-20,久经沙场,StatTrak™,39450,SCAR-20（StatTrak™） | 蓝图,114,2.22,2.61,1.18,2024-06-17
SCAR-20,久经沙场,StatTrak™,39485,SCAR-20（StatTrak™） | 丛林爆发,56,2.2,2.54,1.15,2024-06-17
SCAR-20,破损不堪,StatTrak™,39452,SCAR-20（StatTrak™） | 蓝图,25,2.19,3.48,1.59,2024-06-17
SCAR-20,破损不堪,StatTrak™,39487,SCAR-20（StatTrak™） | 丛林爆发,9,2.1,1.67,0.8,2024-06-17
SCAR-20,战痕累累,普通,36417,SCAR-20 | 权力之心,32,2.09,2.25,1.08,2024-06-17
SCAR-20,久经沙场,普通,779203,SCAR-20 | 执行者,740,2.01,2.76,1.37,2024-06-17
SCAR-20,久经沙场,普通,36419,SCAR-20 | 权力之心,204,1.99,2.61,1.31,2024-06-17
SCAR-20,战痕累累,StatTrak™,39468,SCAR-20（StatTrak™） | 绿色陆战队,24,1.97,2.83,1.44,2024-06-17
SCAR-20,略有磨损,StatTrak™,921512,SCAR-20（StatTrak™） | 碎片,316,1.94,2.68,1.38,2024-06-17
SCAR-20,破损不堪,普通,779249,SCAR-20 | 执行者,251,1.77,2.32,1.31,2024-06-17
SCAR-20,略有磨损,StatTrak™,39481,SCAR-20（StatTrak™） | 丛林滑流,86,1.76,2.47,1.4,2024-06-17
SCAR-20,战痕累累,普通,779239,SCAR-20 | 执行者,198,1.75,2.18,1.25,2024-06-17
SCAR-20,略有磨损,普通,36366,SCAR-20 | 蓝图,174,1.75,2.18,1.25,2024-06-17
SCAR-20,略有磨损,普通,36400,SCAR-20 | 蓝洞,119,1.72,2.54,1.48,2024-06-17
SCAR-20,略有磨损,纪念品,37978,SCAR-20（纪念品） | 沙漠网格,138,1.69,2.61,1.54,2024-06-17
SCAR-20,战痕累累,StatTrak™,39448,SCAR-20（StatTrak™） | 蓝图,41,1.54,2.47,1.6,2024-06-17
SCAR-20,战痕累累,普通,36397,SCAR-20 | 蓝洞,13,1.53,2.03,1.33,2024-06-17
SCAR-20,破损不堪,StatTrak™,773759,SCAR-20（StatTrak™） | 仓库突击,12,1.49,2.47,1.66,2024-06-17
SCAR-20,略有磨损,StatTrak™,886678,SCAR-20（StatTrak™） | 暗夜活死鸡,417,1.43,2.1,1.47,2024-06-17
SCAR-20,崭新出厂,普通,36403,SCAR-20 | 丛林滑流,248,1.43,2.18,1.52,2024-06-17
SCAR-20,久经沙场,普通,36365,SCAR-20 | 蓝图,166,1.43,1.96,1.37,2024-06-17
SCAR-20,破损不堪,普通,36367,SCAR-20 | 蓝图,49,1.41,1.81,1.28,2024-06-17
SCAR-20,崭新出厂,普通,773670,SCAR-20 | 仓库突击,259,1.39,1.81,1.3,2024-06-17
SCAR-20,略有磨损,普通,36410,SCAR-20 | 丛林爆发,116,1.29,1.74,1.35,2024-06-17
SCAR-20,崭新出厂,普通,921424,SCAR-20 | 碎片,684,1.27,1.74,1.37,2024-06-17
SCAR-20,久经沙场,普通,36399,SCAR-20 | 蓝洞,221,1.26,1.67,1.33,2024-06-17
SCAR-20,破损不堪,普通,36401,SCAR-20 | 蓝洞,23,1.25,1.67,1.34,2024-06-17
SCAR-20,战痕累累,StatTrak™,39478,SCAR-20（StatTrak™） | 丛林滑流,19,1.2,2.03,1.69,2024-06-17
SCAR-20,战痕累累,StatTrak™,39483,SCAR-20（StatTrak™） | 丛林爆发,16,1.13,1.52,1.35,2024-06-17
SCAR-20,破损不堪,纪念品,37979,SCAR-20（纪念品） | 沙漠网格,36,1.12,1.23,1.1,2024-06-17
SCAR-20,久经沙场,普通,36394,SCAR-20 | 绿色陆战队,275,1.09,1.52,1.39,2024-06-17
SCAR-20,崭新出厂,普通,886634,SCAR-20 | 暗夜活死鸡,1233,1.06,1.45,1.37,2024-06-17
SCAR-20,破损不堪,普通,36396,SCAR-20 | 绿色陆战队,18,1.02,1.81,1.77,2024-06-17
SCAR-20,战痕累累,纪念品,37975,SCAR-20（纪念品） | 沙漠网格,75,1.01,1.23,1.22,2024-06-17
SCAR-20,战痕累累,普通,36363,SCAR-20 | 蓝图,16,0.99,1.45,1.46,2024-06-17
SCAR-20,战痕累累,普通,36392,SCAR-20 | 绿色陆战队,25,0.94,1.45,1.54,2024-06-17
SCAR-20,久经沙场,纪念品,37977,SCAR-20（纪念品） | 沙漠网格,325,0.93,1.02,1.1,2024-06-17
SCAR-20,破损不堪,普通,773763,SCAR-20 | 仓库突击,21,0.92,1.38,1.5,2024-06-17
SCAR-20,略有磨损,普通,773648,SCAR-20 | 仓库突击,134,0.92,1.16,1.26,2024-06-17
SCAR-20,战痕累累,StatTrak™,773735,SCAR-20（StatTrak™） | 仓库突击,34,0.87,0.94,1.08,2024-06-17
SCAR-20,久经沙场,StatTrak™,39480,SCAR-20（StatTrak™） | 丛林滑流,84,0.87,1.09,1.25,2024-06-17
SCAR-20,久经沙场,普通,773614,SCAR-20 | 仓库突击,118,0.84,1.23,1.46,2024-06-17
SCAR-20,久经沙场,StatTrak™,773641,SCAR-20（StatTrak™） | 仓库突击,77,0.83,1.09,1.31,2024-06-17
SCAR-20,崭新出厂,普通,36368,SCAR-20 | 碳素纤维,1935,0.79,1.16,1.47,2024-06-17
SCAR-20,破损不堪,StatTrak™,39482,SCAR-20（StatTrak™） | 丛林滑流,18,0.76,1.16,1.53,2024-06-17
SCAR-20,战痕累累,普通,773658,SCAR-20 | 仓库突击,36,0.75,1.09,1.45,2024-06-17
SCAR-20,久经沙场,StatTrak™,921459,SCAR-20（StatTrak™） | 碎片,359,0.67,1.02,1.52,2024-06-17
SCAR-20,久经沙场,普通,36409,SCAR-20 | 丛林爆发,138,0.66,0.87,1.32,2024-06-17
SCAR-20,略有磨损,普通,36405,SCAR-20 | 丛林滑流,231,0.65,1.02,1.57,2024-06-17
SCAR-20,略有磨损,普通,36369,SCAR-20 | 碳素纤维,148,0.64,0.87,1.36,2024-06-17
SCAR-20,久经沙场,StatTrak™,886661,SCAR-20（StatTrak™） | 暗夜活死鸡,443,0.61,0.87,1.43,2024-06-17
SCAR-20,破损不堪,StatTrak™,921521,SCAR-20（StatTrak™） | 碎片,37,0.59,0.87,1.47,2024-06-17
SCAR-20,略有磨损,普通,921434,SCAR-20 | 碎片,604,0.6,0.87,1.45,2024-06-17
SCAR-20,破损不堪,StatTrak™,887078,SCAR-20（StatTrak™） | 暗夜活死鸡,26,0.59,0.87,1.47,2024-06-17
SCAR-20,战痕累累,StatTrak™,886992,SCAR-20（StatTrak™） | 暗夜活死鸡,56,0.59,0.94,1.59,2024-06-17
SCAR-20,战痕累累,普通,36407,SCAR-20 | 丛林爆发,31,0.56,1.52,2.71,2024-06-17
SCAR-20,战痕累累,StatTrak™,921548,SCAR-20（StatTrak™） | 碎片,83,0.56,0.87,1.55,2024-06-17
SCAR-20,崭新出厂,普通,36423,SCAR-20 | 沙漠网格,70,0.53,0.65,1.23,2024-06-17
SCAR-20,破损不堪,普通,36411,SCAR-20 | 丛林爆发,30,0.53,0.94,1.77,2024-06-17
SCAR-20,略有磨损,普通,886662,SCAR-20 | 暗夜活死鸡,1253,0.46,0.73,1.59,2024-06-17
SCAR-20,久经沙场,普通,36404,SCAR-20 | 丛林滑流,328,0.4,0.65,1.62,2024-06-17
SCAR-20,战痕累累,普通,36402,SCAR-20 | 丛林滑流,28,0.3,0.58,1.93,2024-06-17
SCAR-20,崭新出厂,普通,36376,SCAR-20 | 雇佣兵,256,0.3,0.44,1.47,2024-06-17
SCAR-20,久经沙场,普通,921415,SCAR-20 | 碎片,1455,0.29,0.51,1.76,2024-06-17
SCAR-20,破损不堪,普通,36406,SCAR-20 | 丛林滑流,29,0.28,0.65,2.32,2024-06-17
SCAR-20,战痕累累,普通,886964,SCAR-20 | 暗夜活死鸡,162,0.27,0.44,1.63,2024-06-17
SCAR-20,破损不堪,普通,921544,SCAR-20 | 碎片,78,0.23,0.51,2.22,2024-06-17
SCAR-20,战痕累累,普通,921472,SCAR-20 | 碎片,261,0.22,0.44,2.0,2024-06-17
SCAR-20,破损不堪,普通,886690,SCAR-20 | 暗夜活死鸡,228,0.22,0.51,2.32,2024-06-17
SCAR-20,久经沙场,普通,886614,SCAR-20 | 暗夜活死鸡,2134,0.22,0.44,2.0,2024-06-17
SCAR-20,略有磨损,普通,36425,SCAR-20 | 沙漠网格,257,0.07,0.22,3.14,2024-06-17
SCAR-20,战痕累累,普通,36375,SCAR-20 | 雇佣兵,225,0.06,0.22,3.67,2024-06-17
SCAR-20,略有磨损,普通,36378,SCAR-20 | 雇佣兵,307,0.04,0.22,5.5,2024-06-17
SCAR-20,破损不堪,普通,36426,SCAR-20 | 沙漠网格,102,0.03,0.22,7.33,2024-06-17
SCAR-20,久经沙场,普通,36424,SCAR-20 | 沙漠网格,1164,0.03,0.22,7.33,2024-06-17
SCAR-20,战痕累累,普通,36422,SCAR-20 | 沙漠网格,240,0.03,0.22,7.33,2024-06-17
SCAR-20,久经沙场,普通,36377,SCAR-20 | 雇佣兵,1550,0.04,0.22,5.5,2024-06-17
SCAR-20,破损不堪,普通,36379,SCAR-20 | 雇佣兵,92,0.03,0.22,7.33,2024-06-17
SCAR-20,战痕累累,普通,36363,SCAR-20 | 蓝图,16,0.99,1.45,1.46,2024-06-17
SCAR-20,战痕累累,普通,36392,SCAR-20 | 绿色陆战队,25,0.94,1.45,1.54,2024-06-17
SCAR-20,久经沙场,纪念品,37977,SCAR-20（纪念品） | 沙漠网格,325,0.93,1.02,1.1,2024-06-17
SCAR-20,破损不堪,普通,773763,SCAR-20 | 仓库突击,21,0.92,1.38,1.5,2024-06-17
SCAR-20,略有磨损,普通,773648,SCAR-20 | 仓库突击,134,0.92,1.16,1.26,2024-06-17
SCAR-20,战痕累累,StatTrak™,773735,SCAR-20（StatTrak™） | 仓库突击,34,0.87,0.94,1.08,2024-06-17
SCAR-20,久经沙场,StatTrak™,39480,SCAR-20（StatTrak™） | 丛林滑流,84,0.87,1.09,1.25,2024-06-17
SCAR-20,久经沙场,普通,773614,SCAR-20 | 仓库突击,118,0.84,1.23,1.46,2024-06-17
SCAR-20,久经沙场,StatTrak™,773641,SCAR-20（StatTrak™） | 仓库突击,77,0.83,1.09,1.31,2024-06-17
SCAR-20,崭新出厂,普通,36368,SCAR-20 | 碳素纤维,1935,0.79,1.16,1.47,2024-06-17
SCAR-20,破损不堪,StatTrak™,39482,SCAR-20（StatTrak™） | 丛林滑流,18,0.76,1.16,1.53,2024-06-17
SCAR-20,战痕累累,普通,773658,SCAR-20 | 仓库突击,36,0.75,1.09,1.45,2024-06-17
SCAR-20,久经沙场,StatTrak™,921459,SCAR-20（StatTrak™） | 碎片,359,0.67,1.02,1.52,2024-06-17
SCAR-20,久经沙场,普通,36409,SCAR-20 | 丛林爆发,138,0.66,0.87,1.32,2024-06-17
SCAR-20,略有磨损,普通,36405,SCAR-20 | 丛林滑流,231,0.65,1.02,1.57,2024-06-17
SCAR-20,略有磨损,普通,36369,SCAR-20 | 碳素纤维,148,0.64,0.87,1.36,2024-06-17
SCAR-20,久经沙场,StatTrak™,886661,SCAR-20（StatTrak™） | 暗夜活死鸡,443,0.61,0.87,1.43,2024-06-17
SCAR-20,破损不堪,StatTrak™,921521,SCAR-20（StatTrak™） | 碎片,37,0.59,0.87,1.47,2024-06-17
SCAR-20,略有磨损,普通,921434,SCAR-20 | 碎片,604,0.6,0.87,1.45,2024-06-17
SCAR-20,破损不堪,StatTrak™,887078,SCAR-20（StatTrak™） | 暗夜活死鸡,26,0.59,0.87,1.47,2024-06-17
SCAR-20,战痕累累,StatTrak™,886992,SCAR-20（StatTrak™） | 暗夜活死鸡,56,0.59,0.94,1.59,2024-06-17
SCAR-20,战痕累累,普通,36407,SCAR-20 | 丛林爆发,31,0.56,1.52,2.71,2024-06-17
SCAR-20,战痕累累,StatTrak™,921548,SCAR-20（StatTrak™） | 碎片,83,0.56,0.87,1.55,2024-06-17
SCAR-20,崭新出厂,普通,36423,SCAR-20 | 沙漠网格,70,0.53,0.65,1.23,2024-06-17
SCAR-20,破损不堪,普通,36411,SCAR-20 | 丛林爆发,30,0.53,0.94,1.77,2024-06-17
SCAR-20,略有磨损,普通,886662,SCAR-20 | 暗夜活死鸡,1253,0.46,0.73,1.59,2024-06-17
SCAR-20,久经沙场,普通,36404,SCAR-20 | 丛林滑流,328,0.4,0.65,1.62,2024-06-17
SCAR-20,战痕累累,普通,36402,SCAR-20 | 丛林滑流,28,0.3,0.58,1.93,2024-06-17
SCAR-20,崭新出厂,普通,36376,SCAR-20 | 雇佣兵,256,0.3,0.44,1.47,2024-06-17
